p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0.0089,739,980,1000,0,1.294,8893.495
0.009,799,991,1000,0,1.221,8989.944
0.0091,806,989,1000,0,1.221,9087.525
0.0092,826,992,1000,0,1.191,9189.533
0.0093,858,988,1000,0,1.159,9291.175
0.0094,839,992,1000,0,1.178,9387.384
0.0095,852,992,1000,0,1.164,9492.21
0.0096,865,995,1000,0,1.146,9587.833
0.0097,883,997,1000,0,1.121,9693.284
0.0098,903,994,1000,0,1.107,9791.926
0.0099,909,997,1000,0,1.096,9887.331
0.01,911,998,1000,0,1.095,9987.895
0.0101,947,1000,1000,0,1.055,10088.863
0.0102,924,998,1000,0,1.079,10189.548
0.0103,940,998,1000,0,1.063,10290.514
0.0104,941,998,1000,0,1.064,10391.991
0.0105,952,1000,1000,0,1.048,10493.728
0.0106,957,1000,1000,0,1.044,10589.791
0.0107,958,1000,1000,0,1.042,10689.686
0.0108,963,1000,1000,0,1.037,10790.475
0.0109,962,1000,1000,0,1.038,10893.676
0.011,975,1000,1000,0,1.025,10990.48
0.0111,971,1000,1000,0,1.029,11089.846
0.0112,972,1000,1000,0,1.028,11185.499
0.0113,977,998,1000,0,1.026,11291.712
0.0114,984,1000,1000,0,1.016,11388.117
0.0115,981,1000,1000,0,1.019,11487.731
0.0116,983,1000,1000,0,1.017,11584.627
0.0117,981,1000,1000,0,1.019,11687.274
0.0118,983,999,1000,0,1.018,11788.761
0.0119,990,1000,1000,0,1.01,11886.432
0.0120,994,1000,1000,0,1.006,11988.164
0.0121,992,1000,1000,0,1.008,12093.043
0.0122,990,1000,1000,0,1.01,12192.376
0.0123,994,1000,1000,0,1.006,12288.308
0.0124,988,1000,1000,0,1.012,12385.697
0.0125,987,1000,1000,0,1.013,12483.789
0.0126,997,1000,1000,0,1.003,12587.96
0.0127,993,1000,1000,0,1.007,12682.416
0.0128,993,1000,1000,0,1.007,12784.424
0.0129,995,1000,1000,0,1.005,12889.608
0.0130,996,1000,1000,0,1.004,12985.476
0.0131,996,1000,1000,0,1.004,13084.438
0.0132,997,1000,1000,0,1.003,13186.851
0.0133,992,1000,1000,0,1.008,13290.816
0.0134,997,1000,1000,0,1.003,13387.11
0.0135,996,1000,1000,0,1.004,13484.37
0.0136,998,1000,1000,0,1.002,13586.306
0.0137,994,1000,1000,0,1.006,13684.117
0.0138,998,1000,1000,0,1.002,13785.795
0.0139,999,1000,1000,0,1.001,13888.736
0.0140,999,1000,1000,0,1.001,13989.523
0.0141,1000,1000,1000,0,1.0,14081.579
0.0142,1000,1000,1000,0,1.0,14190.653
0.0143,997,1000,1000,0,1.003,14286.575
0.0144,999,1000,1000,0,1.001,14387.333
0.0145,997,1000,1000,0,1.003,14485.736
0.0146,1000,1000,1000,0,1.0,14584.492
0.0147,1000,1000,1000,0,1.0,14683.034
0.0148,999,1000,1000,0,1.001,14783.496
0.0149,998,1000,1000,0,1.002,14893.029
0.0150,1000,1000,1000,0,1.0,14987.083
0.0151,999,1000,1000,0,1.001,15086.997
0.0152,999,1000,1000,0,1.001,15183.938
0.0153,1000,1000,1000,0,1.0,15283.08
0.0154,999,1000,1000,0,1.001,15383.218
0.0155,1000,1000,1000,0,1.0,15485.143
0.0156,1000,1000,1000,0,1.0,15583.347
0.0157,1000,1000,1000,0,1.0,15683.166
0.0158,1000,1000,1000,0,1.0,15778.371
0.0159,1000,1000,1000,0,1.0,15877.7
0.0160,1000,1000,1000,0,1.0,15989.25
0.0161,1000,1000,1000,0,1.0,16075.712
0.0162,1000,1000,1000,0,1.0,16188.769
0.0163,1000,1000,1000,0,1.0,16280.714
0.0164,1000,1000,1000,0,1.0,16389.28
0.0165,1000,1000,1000,0,1.0,16486.757
0.0166,1000,1000,1000,0,1.0,16584.89
0.0167,1000,1000,1000,0,1.0,16688.237
0.0168,999,1000,1000,0,1.001,16780.627
0.0169,1000,1000,1000,0,1.0,14987.083
0.0170,999,1000,1000,0,1.001,15086.997
0.0171,999,1000,1000,0,1.001,15183.938
0.0172,1000,1000,1000,0,1.0,15283.08
0.0173,999,1000,1000,0,1.001,15383.218
0.0174,1000,1000,1000,0,1.0,15485.143
0.0175,1000,1000,1000,0,1.0,15583.347
0.0176,1000,1000,1000,0,1.0,15683.166
0.0177,1000,1000,1000,0,1.0,15778.371
0.0178,1000,1000,1000,0,1.0,15877.7
0.0179,1000,1000,1000,0,1.0,15989.25
0.0180,1000,1000,1000,0,1.0,16075.712
0.0181,1000,1000,1000,0,1.0,16188.769
0.0182,1000,1000,1000,0,1.0,16280.714
0.0183,1000,1000,1000,0,1.0,16389.28
0.0184,1000,1000,1000,0,1.0,16486.757
0.0185,1000,1000,1000,0,1.0,16584.89
0.0186,1000,1000,1000,0,1.0,16688.237
0.0187,999,1000,1000,0,1.001,16780.627
0.0188,1000,1000,1000,0,1.0,14987.083
0.0189,999,1000,1000,0,1.001,15086.997
0.0190,999,1000,1000,0,1.001,15183.938
0.0191,1000,1000,1000,0,1.0,15283.08
0.0192,999,1000,1000,0,1.001,15383.218
0.0193,1000,1000,1000,0,1.0,15485.143
0.0194,1000,1000,1000,0,1.0,15583.347
0.0195,1000,1000,1000,0,1.0,15683.166
0.0196,1000,1000,1000,0,1.0,15778.371
0.0197,1000,1000,1000,0,1.0,15877.7
0.0198,1000,1000,1000,0,1.0,15989.25
0.0199,1000,1000,1000,0,1.0,15989.25
0.0200,1000,1000,1000,0,1.0,15989.25
